,icpsr_id,name,congress,party_status,committee_party_rank,party,state,committee
0,1494,"Capper, Arthur",80,1,1,Republican,KS,"Agriculture, Nutrition, and Forestry"
1,52,"Aiken, George D.",80,1,2,Republican,VT,"Agriculture, Nutrition, and Forestry"
2,1330,"Bushfield, Harlan J.",80,1,3,Republican,SD,"Agriculture, Nutrition, and Forestry"
3,0221,"Wilson, George A.",80,1,4,Republican,IA,"Agriculture, Nutrition, and Forestry"
4,0450,"Young, Milton R.",80,1,5,Republican,ND,"Agriculture, Nutrition, and Forestry"
5,5158,"Kem, James P.",80,1,6,Republican,MO,"Agriculture, Nutrition, and Forestry"
6,9374,"Thye, Edward J.",80,1,7,Republican,MN,"Agriculture, Nutrition, and Forestry"
7,9303,"Thomas, Elmer",80,2,1,Democrat,OK,"Agriculture, Nutrition, and Forestry"
8,2901,"Ellender, Allen J.",80,2,2,Democrat,LA,"Agriculture, Nutrition, and Forestry"
9,5823,"Lucas, Scott W.",80,2,3,Democrat,IL,"Agriculture, Nutrition, and Forestry"
10,8929,"Stewart, A. Tom",80,2,4,Democrat,TN,"Agriculture, Nutrition, and Forestry"
11,4483,"Hoey, Clyde R.",80,2,5,Democrat,NC,"Agriculture, Nutrition, and Forestry"
12,7333,"Pepper, Claude D.",80,2,6,Democrat,FL,"Agriculture, Nutrition, and Forestry"
13,1027,"Bridges, H. Styles",80,1,1,Republican,NH,Appropriations
14,3882,"Gurney, J. Chandler",80,1,2,Republican,SD,Appropriations
15,1071,"Brooks, C. Wayland",80,1,3,Republican,IL,Appropriations
16,7780,"Reed, Clyde M.",80,1,4,Republican,KS,Appropriations
17,394,"Ball, Joseph H.",80,1,5,Republican,MN,Appropriations
18,3110,"Ferguson, Homer",80,1,6,Republican,MI,Appropriations
19,9998,"Wherry, Kenneth S.",80,1,7,Republican,NE,Appropriations
20,2066,"Cordon, Guy",80,1,8,Republican,OR,Appropriations
21,8185,"Saltonstall, Leverett",80,1,9,Republican,MA,Appropriations
22,0450,"Young, Milton R.",80,1,10,Republican,ND,Appropriations
23,5343,"Knowland, William F.",80,1,11,Republican,CA,Appropriations
24,2803,"Dworshak, Henry C.",80,1,12,Republican,ID,Appropriations
25,6293,"McKellar, Kenneth D.",80,2,1,Democrat,TN,Appropriations
26,4227,"Hayden, Carl",80,2,2,Democrat,AZ,Appropriations
27,9303,"Thomas, Elmer",80,2,3,Democrat,OK,Appropriations
28,9538,"Tydings, Millard E.",80,2,4,Democrat,MD,Appropriations
29,8138,"Russell, Richard B.",80,2,5,Democrat,GA,Appropriations
30,6132,"McCarran, Patrick A.",80,2,6,Democrat,NV,Appropriations
31,7126,"Overton, John H.",80,2,7,Democrat,LA,Appropriations
32,7070,"O'Mahoney, Joseph C.",80,2,8,Democrat,WY,Appropriations
33,3783,"Green, Theodore F.",80,2,9,Democrat,RI,Appropriations
34,1678,"Chavez, Dennis",80,7,1,Democrat,NM,Appropriations
35,3882,"Gurney, J. Chandler",80,1,1,Republican,SD,Armed Services
36,1027,"Bridges, H. Styles",80,1,2,Republican,NH,Armed Services
37,7960,"Robertson, Edward V.",80,1,3,Republican,WY,Armed Services
38,0221,"Wilson, George A.",80,1,4,Republican,IA,Armed Services
39,8185,"Saltonstall, Leverett",80,1,5,Republican,MA,Armed Services
40,6738,"Morse, Wayne L.",80,1,6,Republican,OR,Armed Services
41,390,"Baldwin, Raymond E.",80,1,7,Republican,CT,Armed Services
42,9538,"Tydings, Millard E.",80,2,1,Democrat,MD,Armed Services
43,8138,"Russell, Richard B.",80,2,2,Democrat,GA,Armed Services
44,1365,"Byrd, Harry Flood",80,2,3,Democrat,VA,Armed Services
