congress,name,state,party,party_status,committee,committee_party_rank
116,Pat Roberts,KS,Republican,1,"Agriculture, Nutrition, and Forestry",1
116,Mitch McConnell,KY,Republican,1,"Agriculture, Nutrition, and Forestry",2
116,John Boozman,AR,Republican,1,"Agriculture, Nutrition, and Forestry",3
116,John Hoeven,ND,Republican,1,"Agriculture, Nutrition, and Forestry",4
116,Joni Ernst,IA,Republican,1,"Agriculture, Nutrition, and Forestry",5
116,Cindy Hyde-Smith,MS,Republican,1,"Agriculture, Nutrition, and Forestry",6
116,Mike Braun,IN,Republican,1,"Agriculture, Nutrition, and Forestry",7
116,David Perdue,GA,Republican,1,"Agriculture, Nutrition, and Forestry",8
116,Chuck Grassley,IA,Republican,1,"Agriculture, Nutrition, and Forestry",9
116,John Thune,SD,Republican,1,"Agriculture, Nutrition, and Forestry",10
116,Deb Fischer,NE,Republican,1,"Agriculture, Nutrition, and Forestry",11
116,Debbie Stabenow,MI,Democrat,2,"Agriculture, Nutrition, and Forestry",1
116,Patrick Leahy,VT,Democrat,2,"Agriculture, Nutrition, and Forestry",2
116,Sherrod Brown,OH,Democrat,2,"Agriculture, Nutrition, and Forestry",3
116,Amy Klobuchar,MN,Democrat,2,"Agriculture, Nutrition, and Forestry",4
116,Michael Bennett,CO,Democrat,2,"Agriculture, Nutrition, and Forestry",5
116,Kirsten Gillibrand,NY,Democrat,2,"Agriculture, Nutrition, and Forestry",6
116,Robert Casey Jr.,PA,Democrat,2,"Agriculture, Nutrition, and Forestry",7
116,Tine Smith,MN,Democrat,2,"Agriculture, Nutrition, and Forestry",8
116,Richard Durbin,IL,Democrat,2,"Agriculture, Nutrition, and Forestry",9
116,Richard Shelby,AL,Republican,1,Appropriations,1
116,Mitch McConnell,KY,Republican,1,Appropriations,2
116,Lamar Alexander,TN,Republican,1,Appropriations,3
116,Susan Collins,ME,Republican,1,Appropriations,4
116,Lisa Murkowski,AK,Republican,1,Appropriations,5
116,Lindsey Graham,SC,Republican,1,Appropriations,6
116,Roy Blunt,MO,Republican,1,Appropriations,7
116,Jerry Moran,KS,Republican,1,Appropriations,8
116,John Hoeven,ND,Republican,1,Appropriations,9
116,John Boozman,AR,Republican,1,Appropriations,10
116,Shelley Moore Capito,WV,Republican,1,Appropriations,11
